uid,address,document_collection,title,short_description,long_description,collection,destination_dir
shp19,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/2B-AnnualEnrollmentExceptions_01-26-2016.pdf,Board of Trustees,,,,,
shp20,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/3ai%20Coverage%20of%20Short-Term%20Rehab%20Therapies%20(final).pdf,Board of Trustees,,,,,
shp21,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/3aii-1%20Coverage%20for%20Gender%20Dysphoria%20(final).pdf,Board of Trustees,,,,,
shp22,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/3aii-2%20BCBSNC%20Corporate%20Medical%20Policy%20gender_confirmation_surgery_and_hormone_therapy.pdf,Board of Trustees,,,,,
shp23,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/3aii-3%20The%20Segal%20Company%20Transgender%20Cost%20Estimate%20Memorandum.pdf,Board of Trustees,,,,,
shp24,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/3aii-4%20The%20Segal%20Company%20Transgender%20Cost%20Estimate%20Memorandum%20Attachment%206-23-2016.pdf,Board of Trustees,,,,,
shp25,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/3aiv%20Recommended%20Benefit%20Changes%20for%202017%20(Vote).pdf,Board of Trustees,,,,,
shp26,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/3A-JLPEOCRetireeHealthReport_11-20-15.pdf,Board of Trustees,,,,,
shp27,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/3A-SpecialtyMedDispensingUpdate_01-26-2016.pdf,Board of Trustees,,,,,
shp28,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/3bii%20Strategy%20and%20Potential%20Benefit%20Changes%20(final).pdf,Board of Trustees,,,,,
shp29,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/3B-LocalGovParticipationInSHP_11-20-15.pdf,Board of Trustees,,,,,
shp30,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/3B-PandTCommitteeDecMeeting_01-26-2016.pdf,Board of Trustees,,,,,
shp31,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/3C-FinalStateBudget_11-20-15.pdf,Board of Trustees,,,,,
shp32,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/3-TransitionSpecMeds_02-05-2016.pdf,Board of Trustees,,,,,
shp33,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/4%202018%20Benefits%20Planning%20(final)%20(002).pdf,Board of Trustees,,,,,
shp34,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/4%20IntroductionsBH.pdf,Board of Trustees,,,,,
shp35,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/4a%20Open%20Enrollment%20Communication_Results%20(final).pdf,Board of Trustees,,,,,
shp36,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/4a%20Update%20On%20Transition%20of%20Specialty%20Medications%20(final).pdf,Board of Trustees,,,,,
shp37,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/4A-Sept2015FinancialRpt_11-20-15.pdf,Board of Trustees,,,,,
shp38,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/4b%20CVS%20Implementation%20and%20Communications%20Outreach%20(final).pdf,Board of Trustees,,,,,
shp39,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/4B%20Eligibility%20and%20Enrollment%20Services%20Contract%20(final).pdf,Board of Trustees,,,,,
shp40,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/4B-CY2015Q3ActuarialForecastUpd_11-20-15.pdf,Board of Trustees,,,,,
shp41,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/4c%202016%20Membership%20Satisfacton%20Survey%20(final).pdf,Board of Trustees,,,,,
shp42,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/4-CoverageClinicalTrials_02-05-2016.pdf,Board of Trustees,,,,,
shp43,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/4C-StateHealthPlanTrends_11-20-15.pdf,Board of Trustees,,,,,
shp44,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/4d%202017%20Communication%20and%20Marketing%20Strategy%20(final).pdf,Board of Trustees,,,,,
shp45,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5%20-%20MOU%20DIT%20for%20GDAC%20(final).pdf,Board of Trustees,,,,,
shp46,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5%20Open%20Enrollment%20Strategy%20for%202018%20(final).pdf,Board of Trustees,,,,,
shp47,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5-2018%20Benefit%20Design%20Changes%20(final).pdf,Board of Trustees,,,,,
shp48,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5A%20%20B%20State%20Budget%20%20SHP%20Related%20Legislation%20(final).pdf,Board of Trustees,,,,,
shp49,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5a%202017%20Benefit%20Design%20Changes%20(final).pdf,Board of Trustees,,,,,
shp50,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5a%20Oct%202016%20Financial%20Report%20(final).pdf,Board of Trustees,,,,,
shp51,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5A%20PT%20Committee%20Meeting%20Summary%20(final).pdf,Board of Trustees,,,,,
shp52,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5a%20Update%20On%20Transition%20of%20Speciality%20Medications%20(final).pdf,Board of Trustees,,,,,
shp53,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5A-2015MemberSatisfactonResults_11-20-15.pdf,Board of Trustees,,,,,
shp54,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5A-CompAnalysisStateHeatlhPlans_01-26-2016.pdf,Board of Trustees,,,,,
shp55,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5B%20a%20CDC%20Worksite%20Health%20ScoreCard%20Final.pdf,Board of Trustees,,,,,
shp56,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5b%20CY2016%20Q3%20Actuarial%20Forecast%20Update%20(final).pdf,Board of Trustees,,,,,
shp57,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5b%20Opioid%20Management%20Strategy%20(final).pdf,Board of Trustees,,,,,
shp58,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5B%20Wellness%20Wins%20Pilot%20Update%20(final).pdf,Board of Trustees,,,,,
shp59,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5Bi-AnnEnrollTelephoneTownHallEvents_11-20-15.pdf,Board of Trustees,,,,,
shp60,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5Bii-AnnualEnrollOutreachResults_11-20-15.pdf,Board of Trustees,,,,,
shp61,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5B-Proposed2017BenDesignChanges_01-26-2016.pdf,Board of Trustees,,,,,
shp62,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5c%20CY2015%20Lowest%20Cost%20Plan%20Analysis%20(final).pdf,Board of Trustees,,,,,
shp63,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5C%20Local%20Government%20Participation%20in%20the%20Plan%20(final).pdf,Board of Trustees,,,,,
shp64,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5C%20PCMH%20Pilot%20Update%20(final).pdf,Board of Trustees,,,,,
shp65,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5C-2016OutreachAndEducationStrat_11-20-15.pdf,Board of Trustees,,,,,
shp66,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5C-PropOpenEnrollStrategy2017BenefitYr_01-26-2016.pdf,Board of Trustees,,,,,
shp67,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5di%202015%20Valuation%20of%20Retired%20Employees%20Health%20Benefits%20OPEB%20(final).pdf,Board of Trustees,,,,,
shp68,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5Di%20JLPEOC%20Retiree%20Health%20Report%20(final).pdf,Board of Trustees,,,,,
shp69,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5dii%202015%20North%20Carolina%20State%20Health%20Plan%20OPEB%20Val%2012_31_15.PDF,Board of Trustees,,,,,
shp70,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5D-TransitionSpecialtyMeds_01-26-2016.pdf,Board of Trustees,,,,,
shp71,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5E-CoverageClinicalTrials_01-26-2016.pdf,Board of Trustees,,,,,
shp72,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/5-ProviderReimburseStratsAndOpp_02-05-2016.pdf,Board of Trustees,,,,,
shp73,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/6%20-%20Board%20of%20Trustees%20Self%20Assessment%20(final).pdf,Board of Trustees,,,,,
shp74,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/6%20BOT%20Self-Assessment%20Proposed%20Action%20Plan%20(final)%20(002).pdf,Board of Trustees,,,,,
shp75,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/6a%20Expansion%20of%20Local%20Government%20Participation%20(final).pdf,Board of Trustees,,,,,
shp76,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/6A%20Valuation%20of%20Retired%20Employees%20Health%20Benefits%20OPEB%20(final).pdf,Board of Trustees,,,,,
shp77,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/6A-PremiumContributionRates_11-20-15.pdf,Board of Trustees,,,,,
shp78,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/6B%202014-15%20State%20Fiscal%20Year%20End%20Financial%20Report%20(final).pdf,Board of Trustees,,,,,
shp79,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/6b%20Transparency%20Workgroup%20Update%20(final).pdf,Board of Trustees,,,,,
shp80,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/6B-RxHomeDeliveryPilot_11-20-15.pdf,Board of Trustees,,,,,
shp81,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/6C%20June%202016%20Financial%20Report%20(final).pdf,Board of Trustees,,,,,
shp82,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/6C-TransitionSpecMedsPharmBen_11-20-15.pdf,Board of Trustees,,,,,
shp83,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/6D%20CY2015%20Q2%20Forecast%20Update%20(final).pdf,Board of Trustees,,,,,
shp84,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/6D-PotentialBenChangesCY2017_11-20-15.pdf,Board of Trustees,,,,,
shp85,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/6-Open%20Enrollment%20Strategy%20for%202018%20(final).pdf,Board of Trustees,,,,,
shp86,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/6-Proposed%20Benefit%20Design%20Changes%20for%202017.pdf,Board of Trustees,,,,,
shp87,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/7%202017%20Enrollment%20Exceptions%20(final).pdf,Board of Trustees,,,,,
shp88,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/7A%20Delay%20Tobacco%20Attestation%20Requirement%20(final).pdf,Board of Trustees,,,,,
shp89,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/7a%20Population%20Health%20Management%20RFP%20(final).pdf,Board of Trustees,,,,,
shp90,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/7A-PBMRequestForProposal_11-20-15.pdf,Board of Trustees,,,,,
shp91,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/7B%202016%20Premium%20Contribution%20Rates%20(final).pdf,Board of Trustees,,,,,
shp92,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/7C%20Out%20of%20Network%20Lab%20Benefit%20(final).pdf,Board of Trustees,,,,,
shp93,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/7D%20Health%20Engagement%20Program%20(final).pdf,Board of Trustees,,,,,
shp94,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/7E%20Diabetes%20Primary%20Prevention%20Program%20(final).pdf,Board of Trustees,,,,,
shp95,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/7-PropOpenEnrollStrat2017_02-05-2016.pdf,Board of Trustees,,,,,
shp96,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/7-SHP%20Compensation%20Review%20and%20Recommendations%20(final).pdf,Board of Trustees,,,,,
shp97,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/8%20Member%20Experience%20and%20Communications%20Update%20(final).pdf,Board of Trustees,,,,,
shp98,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/8%20Opioid%20Management%20Strategy%20(final).pdf,Board of Trustees,,,,,
shp99,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/8-2016%20Calendar%20Year-End%20Financial%20Report%20(final).pdf,Board of Trustees,,,,,
shp100,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/8A-PharmTherCommAugMtg_11-20-15.pdf,Board of Trustees,,,,,
shp101,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/8B-ACAEmpRptReq_11-20-15.pdf,Board of Trustees,,,,,
shp102,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/9%202017%20Legislative%20Agenda%20(final).pdf,Board of Trustees,,,,,
shp103,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/9A-FuturePlanning_11-20-15.pdf,Board of Trustees,,,,,
shp104,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/9B-StrategicPlanAnnUpd2_11-20-15.pdf,Board of Trustees,,,,,
shp105,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/Agenda_01-26-2016.pdf,Board of Trustees,,,,,
shp106,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/Agenda_02-05-2016.pdf,Board of Trustees,,,,,
shp107,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/Analysis%20of%20Utilization%20and%20Costs%20by%20Region%20(final).pdf,Board of Trustees,,,,,
shp108,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/Approved%20Minutes%20-%2011.19.17.pdf,Board of Trustees,,,,,
shp109,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/Approved%20Minutes%207.24.17.pdf,Board of Trustees,,,,,
shp110,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/Approved%20Minutes_12.1-2.2016.pdf,Board of Trustees,,,,,
shp111,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/Approved%20Minutes_12.20.16.pdf,Board of Trustees,,,,,
shp112,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/Apr%202017%20Financial%20Report.pdf,Board of Trustees,,,,,
shp113,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/April%202016%20Financial%20Report%20(final).pdf,Board of Trustees,,,,,
shp114,"https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/April%20Binder%20(2.95%20MB,%20127%20pages).pdf",Board of Trustees,,,,,
shp115,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/Auditing%20Services%20Results%20(final).pdf,Board of Trustees,,,,,
shp116,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/Benefitfocus%20Phase%20III%20and%20OE%20Readiness%20Update%20(final).pdf,Board of Trustees,,,,,
shp117,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/Board%20Minutes%203.22.17%20-%20Approved.pdf,Board of Trustees,,,,,
shp118,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/Board%20of%20Trustees%20Strategic%20Plan%202016-2010%20-%20Approved%208.4.16.pdf,Board of Trustees,,,,,
shp119,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BoT%20Approved%20Minutes%20-%206.2.17.pdf,Board of Trustees,,,,,
shp120,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT%20Minutes%20-%20Approved%203.22.17.pdf,Board of Trustees,,,,,
shp121,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_1_Insurance_design-9-19-2014.pdf,Board of Trustees,,,,,
shp122,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_1_Leg_Update-8-1-2014.pdf,Board of Trustees,,,,,
shp123,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_1_Non-Preferred-Specialty-3-27-2014.pdf,Board of Trustees,,,,,
shp124,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_1_Strategic_Plan-5-29-2014.pdf,Board of Trustees,,,,,
shp125,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_10_Humana-3-27-2014.pdf,Board of Trustees,,,,,
shp126,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_10_Member_Sat_Survey-5-29-2014.pdf,Board of Trustees,,,,,
shp127,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_11_Eligibility_Enrollment-5-29-2014.pdf,Board of Trustees,,,,,
shp128,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_11_United_Healthcare-3-27-2014.pdf,Board of Trustees,,,,,
shp129,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_12_ADT_Data-5-29-2014.pdf,Board of Trustees,,,,,
shp130,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_12_Worksite_Wellness-3-27-2014.pdf,Board of Trustees,,,,,
shp131,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_13_Pat_Center_Med_Homes-3-27-2014.pdf,Board of Trustees,,,,,
shp132,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_13_Phar_Ther_Summary-5-29-2014.pdf,Board of Trustees,,,,,
shp133,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_14_Analysis_State_Plans-3-27-2014.pdf,Board of Trustees,,,,,
shp134,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_15_Multi_Yr_Fin_Model-3-27-2014.pdf,Board of Trustees,,,,,
shp135,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_1a_2014_Fin_Rpt-2-11-2015.pdf,Board of Trustees,,,,,
shp136,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_1a_Legis_Update-5-29-2014.pdf,Board of Trustees,,,,,
shp137,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_1a_Member-Survey-11-20-2014.pdf,Board of Trustees,,,,,
shp138,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_1a_Nov_Fin_Rpt-1-22-2015.pdf,Board of Trustees,,,,,
shp139,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_1a_Strat_Plan_Progress-3-27-2014.pdf,Board of Trustees,,,,,
shp140,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_1b_Act_Forecast-1-22-2015.pdf,Board of Trustees,,,,,
shp141,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_1b_Act_Forecast-2-11-2015.pdf,Board of Trustees,,,,,
shp142,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_1b_Ann_Enr_Results-11-20-2014.pdf,Board of Trustees,,,,,
shp143,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_1b_Org_Update-3-27-2014.pdf,Board of Trustees,,,,,
shp144,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_1c_Open_Enr_Update-11-20-2014.pdf,Board of Trustees,,,,,
shp145,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_1d_Same-Sex-Update-11-20-2014.pdf,Board of Trustees,,,,,
shp146,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_1e_Comm_Update-11-20-2014.pdf,Board of Trustees,,,,,
shp147,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_2_March_2014_Financial-5-29-2014.pdf,Board of Trustees,,,,,
shp148,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_2_Member_Exp-9-19-2014.pdf,Board of Trustees,,,,,
shp149,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_2_Phar_Ther_Summary-3-27-2014.pdf,Board of Trustees,,,,,
shp150,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_2014_Coverage_Changes-7-26-2013.pdf,Board of Trustees,,,,,
shp151,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_2014_Coverage-Changes-9-27-2013.pdf,Board of Trustees,,,,,
shp152,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_2014_Final_Plan_Design-5-24-2013.pdf,Board of Trustees,,,,,
shp153,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_2a_Benefit_Design-2-11-2015.pdf,Board of Trustees,,,,,
shp154,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_2a_Fin-Report--11-20-2014.pdf,Board of Trustees,,,,,
shp155,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_2a_Impl-Update-1-22-2015.pdf,Board of Trustees,,,,,
shp156,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_2a_June_Fin_Rpt-8-1-2014.pdf,Board of Trustees,,,,,
shp157,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_2b_Act_Val_Benefits-11-20-2014.pdf,Board of Trustees,,,,,
shp158,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_2b_State_Fiscal_Rpt-8-1-2014.pdf,Board of Trustees,,,,,
shp159,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_2b1_Opeb-11-20-2014.pdf,Board of Trustees,,,,,
shp160,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_2c_Summary_Audit-11-20-2014.pdf,Board of Trustees,,,,,
shp161,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_3_Actuarial_Baseline-5-29-2014.pdf,Board of Trustees,,,,,
shp162,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_3_Alt_Ben_Opt_for-Newly-Elig-8-28-2014.pdf,Board of Trustees,,,,,
shp163,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_3_Autism_Ben-3-27-2014.pdf,Board of Trustees,,,,,
shp164,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_3a_2015_Enroll_Rules-8-1-2014.pdf,Board of Trustees,,,,,
shp165,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/BOT_3a_Benefit_Options-2-11-2015.pdf,Board of Trustees,,,,,
