uid,address,last_modified,title,description,new_page,filename_updated,division,collection,publication,osh,,,,,,,,,,
L0082,http://www.nclabor.com/dol_statistics/ofirr/reports/InternetOFIR2014.xls,"Fri, 05 Dec 2014 01:11:13 GMT",2013-2014 Fatal Events Summary,2013-2014 Fatal Events Summary,N,N,OSH ,Reports,,,,,,,,,,,,
L0083,http://www.nclabor.com/dol_statistics/ofirr/reports/InternetOFIR2015.xls,"Tue, 08 Mar 2016 23:31:44 GMT",2014-2015 Fatal Events Summary,2014-2015 Fatal Events Summary,N,N,OSH ,Reports,,,,,,,,,,,,
L0084,http://www.nclabor.com/dol_statistics/ofirr/reports/InternetOFIR2016.xls,"Mon, 30 Jan 2017 20:20:07 GMT",2016 Fatality,2016 Fatality,N,N,OSH ,Reports,,,,,,,,,,,,
L0085,http://www.nclabor.com/dol_statistics/ofirr/reports/InternetOFIR2017.xls,"Tue, 04 Apr 2017 20:53:43 GMT",2016-2017 Fatal Events Summary,2016-2017 Fatal Events Summary,N,N,OSH ,Reports,,,,,,,,,,,,
L0119,http://www.nclabor.com/elevator/Memos/2017_Elev_Co_Mtg_Summary.pdf,"Wed, 29 Mar 2017 19:33:54 GMT",2017 Elevator Conmpany Meeting Minutes,minutes,N,N,Elevator,,,,,,,,,,,,,
L0661,http://www.nclabor.com/osha/etta/safety_programs/safetyawardapp.pdf,"Thu, 12 Jan 2017 23:49:22 GMT",2017 Safety Awards Letter,,N,N,OSH,Forms,,,,,,,,,,,,
L0712,http://www.nclabor.com/osha/PublicSN/SN68.pdf,"Wed, 06 Sep 2006 17:14:36 GMT",29 CFR 1910.134(d) (1) (ii); Use of Non-NIOSH approved respirators for voluntary use.,,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0688,http://www.nclabor.com/osha/PublicSN/SN03A.pdf,"Wed, 06 Sep 2006 17:14:02 GMT",29 CFR 1910.22 (b) - Aisles and Passageways. Interpretation of sufficient space and appropriately marked.,,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0697,http://www.nclabor.com/osha/PublicSN/SN33A.pdf,"Wed, 06 Sep 2006 17:14:16 GMT","29 CFR 1910.23 (c) (1), Guardrails at Petroleum Loading Racks",,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0714,http://www.nclabor.com/osha/PublicSN/SN71.pdf,"Wed, 06 Sep 2006 17:14:37 GMT",29 CFR 1910.23(c)(1) - Guarding Floor and Wall openings,,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0687,http://www.nclabor.com/osha/PublicSN/SN01A.pdf,"Wed, 06 Sep 2006 17:14:00 GMT",29 CFR 1910.262 (j) - Textiles,,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0689,http://www.nclabor.com/osha/PublicSN/SN07A.pdf,"Wed, 06 Sep 2006 17:14:02 GMT",29 CFR 1910.264 (b)  Laundry Machinery and Operations; General Requirements,,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0700,http://www.nclabor.com/osha/PublicSN/SN49A.pdf,"Wed, 06 Sep 2006 17:14:21 GMT",29 CFR 1926.404 (b) - Ground-Fault Protection in Construction Operations,,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0194,http://www.nclabor.com/elevator/online_forms/1914B.pdf,"Fri, 27 May 2011 23:47:38 GMT",90-Day Limited Use Request,90-day Limited use requiest for elevators,N,N,Elevator,,,,,,,,,,,,,
L0618,http://www.nclabor.com/osha/etta/indguide/ig5.pdf,"Mon, 08 Jun 2009 16:56:05 GMT",A Guide for Persons Employed in Cotton Dust Environments Industry Guide 5,,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0594,http://www.nclabor.com/osha/etta/indguide/ig17.pdf,"Tue, 18 Jun 2013 01:01:40 GMT",A Guide to Asbestos for Industry Industry Guide 17,,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0625,http://www.nclabor.com/osha/etta/indguide/ig7.pdf,"Thu, 08 Dec 2011 18:22:20 GMT",A Guide to Bloodborne Pathogens in the Workplace Industry Guide 7,,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0611,http://www.nclabor.com/osha/etta/indguide/ig43.pdf,"Thu, 19 Jul 2012 20:55:13 GMT",A Guide to Combustible Dusts Industry Guide 43,,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0593,http://www.nclabor.com/osha/etta/indguide/ig16.pdf,"Thu, 28 Feb 2013 17:46:51 GMT",A Guide to Construction Jobsite Safety and Health Industry Guide 16,,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0597,http://www.nclabor.com/osha/etta/indguide/ig20.pdf,"Tue, 02 Nov 2010 21:29:42 GMT",A Guide to Cranes and Derricks Industry Guide 20,,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0592,http://www.nclabor.com/osha/etta/indguide/ig15.pdf,"Thu, 21 Mar 2013 18:32:11 GMT",A Guide to Developing and Maintaining an Effective Hearing Conservation Program Industry Guide 15,,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0607,http://www.nclabor.com/osha/etta/indguide/ig40.pdf,"Thu, 25 Aug 2011 23:08:28 GMT",A Guide to Emergency Action Planning Industry Guide 40,,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0602,http://www.nclabor.com/osha/etta/indguide/ig31.pdf,"Thu, 09 May 2013 00:24:12 GMT",A Guide to Formaldehyde Industry Guide 31,,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0613,http://www.nclabor.com/osha/etta/indguide/ig45.pdf,"Tue, 18 Jun 2013 00:32:05 GMT",A Guide to Hexavalent Chromium Cr(VI) for Industry Industry Guide 45,,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0624,http://www.nclabor.com/osha/etta/indguide/ig6.pdf,"Thu, 09 May 2013 02:00:38 GMT",A Guide to Lead Exposure in the Construction Industry Industry Guide 6,,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0600,http://www.nclabor.com/osha/etta/indguide/ig3.pdf,"Fri, 19 Jul 2013 00:11:41 GMT",A Guide to Machine Safeguarding Industry Guide 3,,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0614,http://www.nclabor.com/osha/etta/indguide/ig46.pdf,"Tue, 18 Jun 2013 19:44:28 GMT",A Guide to Occupational Exposure to Isocyanates Industry Guide 46,,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0595,http://www.nclabor.com/osha/etta/indguide/ig19.pdf,"Thu, 09 May 2013 01:38:20 GMT","A Guide to Occupational Exposure to Wood, Wood Dust and Combustible Dust Hazards Industry Guide 19",,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0606,http://www.nclabor.com/osha/etta/indguide/ig4.pdf,"Mon, 03 Dec 2012 23:30:02 GMT",A Guide to Occupational Safety and Health in North Carolina Industry Guide 4,,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0603,http://www.nclabor.com/osha/etta/indguide/ig33.pdf,"Tue, 24 Aug 2010 18:36:24 GMT",A Guide to Office Safety and Health Industry Guide 33,,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0608,http://www.nclabor.com/osha/etta/indguide/ig41.pdf,"Tue, 18 Jun 2013 00:43:54 GMT",A guide to OSHA for Small Businesses in North Carolina Industry Guide 41,,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0598,http://www.nclabor.com/osha/etta/indguide/ig25.pdf,"Wed, 16 Sep 2015 22:23:29 GMT",A Guide to Personal Protective Equipment Industry Guide 25,,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0615,http://www.nclabor.com/osha/etta/indguide/ig47.pdf,"Thu, 13 Sep 2012 23:11:49 GMT",A Guide to Public Safety Diving Industry Guide 47,,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0589,http://www.nclabor.com/osha/etta/indguide/ig11.pdf,"Tue, 24 Aug 2010 17:47:20 GMT",A Guide to Radio Frequency Hazards with Electric Detonators Industry Guide 11,Guide to Radio Frequency Hazards With Electric Detonators contributes to that objective. It describes hazards of radio frequency energy to the loading and firing of electrically initiated blasting operations and sets forth precautions that should be taken during such operations.,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0612,http://www.nclabor.com/osha/etta/indguide/ig44.pdf,"Wed, 16 Sep 2015 22:23:29 GMT",A Guide to Respiratory Protection Industry Guide 44,,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0605,http://www.nclabor.com/osha/etta/indguide/ig38.pdf,"Thu, 19 Jul 2012 20:59:02 GMT",A Guide to Safe Scaffolding Industry Guide 38,,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0604,http://www.nclabor.com/osha/etta/indguide/ig34.pdf,"Thu, 09 May 2013 19:56:37 GMT",A Guide to Safe Work Practices in the Poultry Processing Industry Industry Guide 34,,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0587,http://www.nclabor.com/osha/etta/indguide/ig1.pdf,"Thu, 05 Feb 2015 18:45:44 GMT",A Guide to Safety in Confined Spaces Industry Guide 1,A Guide to Safety in Confined Spaces examines the rules and risks associated with working in these dangerous conditions.,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0591,http://www.nclabor.com/osha/etta/indguide/ig14.pdf,"Wed, 05 Jan 2011 17:45:56 GMT",A Guide to the OSHA Excavations Standard Industry Guide 14,"A Guide to the OSHA Excavations Standard examines the standards different sections, offering many illustrationsand a safety checklist to help explain how to excavate and work safely in a trench. It also discusses the rule concerningexcavating and residential construction",N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0596,http://www.nclabor.com/osha/etta/indguide/ig2.pdf,"Thu, 09 May 2013 18:07:02 GMT",A Guide to the Procedures of the NC Occupational Safety and Health Review Commission Industry Guide 2,,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0590,http://www.nclabor.com/osha/etta/indguide/ig13.pdf,"Tue, 24 Aug 2010 17:52:50 GMT",A Guide to the Safe Storage of Explosive Materials Industry Guide 13,This guide provides information on how to store different types and amounts of explosive materials safely. Several charts included in this guide can help the reader find information relating directly to specific situations.,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0599,http://www.nclabor.com/osha/etta/indguide/ig29.pdf,"Thu, 09 May 2013 01:02:06 GMT",A Guide to the Safety and Health in Feed and Grain Mills Industry Guide 29,,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0610,http://www.nclabor.com/osha/etta/indguide/ig42.pdf,"Wed, 27 Apr 2011 21:18:42 GMT",A Guide to Transportation Safety Industry Guide 42,,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0601,http://www.nclabor.com/osha/etta/indguide/ig30.pdf,"Thu, 21 Nov 2013 23:49:06 GMT",A Guide to Working with Corrosive Substances Industry Guide 30,,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0621,http://www.nclabor.com/osha/etta/indguide/ig52.pdf,"Thu, 24 Apr 2014 20:11:12 GMT",A Safety and Health Guide for 1-Bromopropane Industry Guide 52,,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0495,http://www.nclabor.com/osha/etta/exampleprograms/Accident_and_Injury_Reports.doc,"Thu, 10 Jul 2014 20:07:30 GMT",Accident and Injury Reports,This document contains example investigation forms used to document workplace accidents and injuries. The forms can be customized to fit an individual workplace.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0386,http://www.nclabor.com/osha/compliance/accident_reporting_form.pdf,"Mon, 12 Oct 2015 16:11:42 GMT",Accident Reporting Form,Accident Reporting Form,N,N,OSH,Forms,,,,,,,,,,,,
L0413,http://www.nclabor.com/osha/compliance/publicopn/opn118b.pdf,"Mon, 13 Sep 2010 19:31:34 GMT",Administration of Variance Requests and Related Records.,Administration of Variance Requests and Related Records.,N,N,OSH,OSH Enforcement Procedures,,Operational Procedure Notice,,,,,,,,,,
L0439,http://www.nclabor.com/osha/ergoguideline.pdf,"Wed, 14 Dec 2005 20:57:44 GMT",AFMA Voluntary Ergonomics Guideline,AFMA Voluntary Ergonomics Guideline,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0004,http://www.nclabor.com/ash/ASHGuide.pdf,"Tue, 23 Feb 2016 21:26:21 GMT",Agricultural Safety and Health Guide,A publication to give advice for agriculture workers in North Carolina.,N,,ASH,Publications,OSH Industry Guides,,,,,,,,,,,
L0782,http://www.nclabor.com/posters/English/allposters_eng.pdf|http://www.nclabor.com/posters/Spanish/allposters_span.pdf,"Thu, 26 Jan 2017 02:49:01 GMT",All state and federal workplace posters.,These files contains a copy of each state and federal workplace poster.  The files are available in English and Spanish.  Please note: not all of the required posters are available in Spanish.,N,N,OSH,Publications,Posters,,,,,,,,,,,
L0472,http://www.nclabor.com/osha/etta/brochures/br100.pdf,"Wed, 01 Mar 2017 20:34:14 GMT",Alliance and Partnership Program Brochure,Brochure with an overview ofalliance and partnership programs,N,N,OSH,Publications,Brochures,,,,,,,,,,,
L0467,http://www.nclabor.com/osha/etta/Alliances/Alliance_Application.pdf,"Fri, 07 Jun 2013 23:07:44 GMT",Alliance Application,Alliance Application,N,N,OSH,Forms,,,,,,,,,,,,
L0104,http://www.nclabor.com/elevator/amusement_star/Amusement_Star_Prog_App.pdf,"Thu, 18 Jun 2009 20:16:17 GMT",Amusement Star Program Application,Amusement Star Program Application,N,N,Elevator,Forms,,,,,,,,,,,,
L0198,http://www.nclabor.com/elevator/online_forms/Amusement_Device_Operational_Checklist.pdf,"Tue, 22 Mar 2011 22:11:34 GMT",Amusements Operation Check List,Amusements Operational Check  List,N,N,Elevator,,,,,,,,,,,,,
L0027,http://www.nclabor.com/ash/safetytips/anaphylactic_shock.pdf,"Tue, 07 Nov 2006 13:20:28 GMT",Anaphylactic Shock Brochure,Brochure detailing signs and symptoms and treatment of anaphylactic shock,N,N,ASH,Publications,Brochures,,,,,,,,,,,
L0695,http://www.nclabor.com/osha/PublicSN/SN26A.pdf,"Wed, 06 Sep 2006 17:14:14 GMT","Applicability of 29 CFR 1910.219(a) (3), 29 CFR 1910.219(e) (1) (i), 29 CFR 1910.219(f) (1) & (3), and 29 CFR 1910.262(c) (3) to the Guarding of the Sides of Carding Machines Used in the Textile Industry",,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0044,http://www.nclabor.com/boiler/forms/1908.pdf,"Wed, 24 Aug 2016 22:57:15 GMT",Application for Commission as an Inspector of Boilers and Pressure Vessels,Apply to become an inspector of boilers and pressure vessels,N,N,Boiler,Forms,,,,,,,,,,,,
L0207,http://www.nclabor.com/elevator/online_forms/Tram_Application_IV151931.pdf,"Thu, 16 Dec 2010 23:42:46 GMT",Application to Install Chair or Gondola Lifts and Ski Tows,"application to install aerial tramways, funiculars, and related equipment",N,N,Elevator,,,,,,,,,,,,,
L0388,http://www.nclabor.com/osha/compliance/directives/cpl_02-00-051.pdf,"Wed, 22 Mar 2017 00:25:06 GMT",Appropriations Act,Appropriations Act,N,N,OSH,OSH Enforcement Procedures,,Compliance Directive,,,,,,,,,,
L0692,http://www.nclabor.com/osha/PublicSN/SN18C.pdf,"Tue, 14 Aug 2012 23:35:47 GMT",Approved Containers to Store Flammable Liquids in General Industry,,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0497,http://www.nclabor.com/osha/etta/exampleprograms/Assured_Equipment_Grounding_Conductor_Program.doc,"Thu, 10 Jul 2014 19:47:01 GMT",Assured Equipment Grounding Conductor Program,This document contains a customizable example assured equipment grounding condutor program.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0705,http://www.nclabor.com/osha/PublicSN/SN58B.pdf,"Wed, 06 Sep 2006 17:14:27 GMT",Availability of and access to toilets and hand washing facilities.,,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0499,http://www.nclabor.com/osha/etta/exampleprograms/BBP_Written_Program.doc,"Thu, 10 Jul 2014 19:51:57 GMT",Bloodborne Pathogens Exposure Control Plan,This document contains a customizable example bloodborne pathogens exposure control plan .,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0047,http://www.nclabor.com/boiler/forms/inspection_request_form.pdf,"Thu, 08 Dec 2016 21:23:24 GMT",Boiler or Pressure Vessel Inspection Request,Request inspection of a boiler or pressure vessel,N,N,Boiler,Forms,,,,,,,,,,,,
L0053,http://www.nclabor.com/boiler/NCDOL_Inspectors_District_Map.pdf,"Thu, 02 Mar 2017 21:33:04 GMT",Boiler Safety Bureau Inspector Territory Map,Inspector assignments by county,N,N,Boiler,,,,,,,,,,,,,
L0429,http://www.nclabor.com/osha/compliance/publicopn/opn148.pdf,"Tue, 12 Jul 2016 00:05:35 GMT",Carbon Monoxide Exposure Documentation Guidelines," This Operational Procedure Notice (OPN) provides the North Carolina Department of Labor (NCDOL) Occupational Safety and Health (OSH) Division guidance on the use of the Coburn Equation to theoretically derive an employees exposure to carbon monoxide (CO). ",N,N,OSH,OSH Enforcement Procedures,,Operational Procedure Notice,,,,,,,,,,
L0481,http://www.nclabor.com/osha/etta/brochures/br200.pdf,"Mon, 27 Feb 2017 19:06:59 GMT",Carolina Star Brochure,Brochure with an overview of Carolina Star,N,N,OSH,Publications,Brochures,,,,,,,,,,,
L0014,http://www.nclabor.com/ash/farmer_broch..pdf,"Mon, 09 Aug 2004 13:39:17 GMT",Caution Farmer at Work Brochure English,Brochure to help with practicing safety when operating farm machinery on public roads,N,N,ASH,Publications,Brochures,,,,,,,,,,,
L0015,http://www.nclabor.com/ash/farmer_spbroch.pdf,"Mon, 09 Aug 2004 13:40:09 GMT",Caution Farmer at Work Brochure Spanish,Brochure to help with practicing safety when operating farm machinery on public roads in Spanish,N,N,ASH,Publications,Brochures,,,,,,,,,,,
L0501,http://www.nclabor.com/osha/etta/exampleprograms/Chemical_Hygiene_Lab_Safety_Program.doc,"Thu, 10 Jul 2014 19:52:07 GMT",Chemical Hygiene Plan,This document contains a customizable example chemical hygiene plan.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0390,http://www.nclabor.com/osha/compliance/directives/CPL_02-01-048.pdf,"Fri, 02 Jul 2010 13:47:14 GMT",Clarification of OSHAs enforcement policies relating to floors/nets and shear connectors.,Clarification of OSHAs enforcement policies relating to floors/nets and shear connectors.,N,N,OSH,OSH Enforcement Procedures,,Compliance Directive,,,,,,,,,,
L0693,http://www.nclabor.com/osha/PublicSN/SN19B.pdf,"Wed, 28 Aug 2013 19:48:29 GMT","Class I and Class II, Division 2 Hazardous Locations for Spray Finishing",,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0503,http://www.nclabor.com/osha/etta/exampleprograms/Climbing_Frame_Inspection_Checklist.doc,"Thu, 10 Jul 2014 21:12:31 GMT",Climbing Frame Inspection,This document contains a customizable example checklist for inspections of climbing frames.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0391,http://www.nclabor.com/osha/compliance/directives/CPL_03-00-008.pdf,"Tue, 13 May 2008 23:17:27 GMT",Combustible Dust Explosion Prevention Program,Combustible Dust Explosion Prevention Program,N,N,OSH,OSH Enforcement Procedures,,Compliance Directive,,,,,,,,,,
L0505,http://www.nclabor.com/osha/etta/exampleprograms/Confined_Space_Entry_Program.doc,"Thu, 10 Jul 2014 19:51:01 GMT",Confined Space Entry Permit,This document contains a customizable example confined space entry program that can be customized to fit an individual workplace.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0507,http://www.nclabor.com/osha/etta/exampleprograms/Construction_Company_Safety_and_Health_Policy.doc,"Thu, 10 Jul 2014 19:57:00 GMT",Construction Safety and Health Policy,This document contains a customizable example constructionsafety and health policy.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0488,http://www.nclabor.com/osha/etta/brochures/br900-2.pdf|http://www.nclabor.com/osha/etta/brochures/br900-4.pdf,"Fri, 03 Mar 2017 18:20:00 GMT",Consultative Services Bureau for NC Employers Brochure,Brochure with an overview of Consultative Services,N,N,OSH,Publications,Brochures,,,,,,,,,,,
L0701,http://www.nclabor.com/osha/PublicSN/SN52A.pdf,"Wed, 06 Sep 2006 17:14:21 GMT","Conversion of, Modification of, and Additions to Industrial Trucks",,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0680,http://www.nclabor.com/osha/etta/train_the_trainer/Course_Application.pdf,"Wed, 15 Jul 2015 21:53:00 GMT",Course Application ,,N,N,OSH,Forms,,,,,,,,,,,,
L0577,http://www.nclabor.com/osha/etta/exampleprograms/Steel_Erection_Crane_Inspection.doc,"Thu, 10 Jul 2014 20:53:13 GMT",Crane Inspections In Steel Erection,This document contains a customizable example checklist for crane inspections in the steel erection industry.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0206,http://www.nclabor.com/elevator/online_forms/survey.pdf,"Tue, 02 Aug 2016 19:23:51 GMT",Customer Feedback Survey,customer feedback survey,N,N,Elevator,,,,,,,,,,,,,
L0431,http://www.nclabor.com/osha/compliance/publicopn/opn91a.pdf,"Wed, 01 Jun 2011 21:09:02 GMT",Delegation of Authority to Issue Citations," The purpose of this OPN is to document the director's legal authority to delegate to other authorized personnel within the division, the power to issue citations. ",N,N,OSH,OSH Enforcement Procedures,,Operational Procedure Notice,,,,,,,,,,
L0690,http://www.nclabor.com/osha/PublicSN/SN09A.pdf,"Wed, 06 Sep 2006 17:14:02 GMT",Determining Hazardous (classified) Locations in unventilated pits or depressions below grade in commercial garages.,,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0170,http://www.nclabor.com/elevator/Memos/Fire_Alarm_Directive.pdf,"Mon, 12 Dec 2016 23:14:49 GMT",Directive - Damaged Fire Alarm Systems,Directive prohibiting use of equipment when fire alarm system is non-operational or being relaced,N,N,Elevator,,,,,,,,,,,,,
L0046,http://www.nclabor.com/boiler/forms/discontinued_use.pdf,"Tue, 03 Jan 2017 22:56:01 GMT",Discontinued Use of Boiler or Pressure Vessel Certificate,Discontinued use of a boiler or pressure vessel,N,N,Boiler,Forms,,,,,,,,,,,,
L0143,http://www.nclabor.com/elevator/Memos/Drive_Unit_Permitting.pdf,"Mon, 12 Dec 2016 23:15:30 GMT",Drive Unit Permitting,notice of new policy requiring a permit for drive unit replacement,N,N,Elevator,,,,,,,,,,,,,
L0696,http://www.nclabor.com/osha/PublicSN/SN28A.pdf,"Wed, 06 Sep 2006 17:14:14 GMT","Drying Tumblers, Shakers and Washing Machines Interlocking Devices",,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0511,http://www.nclabor.com/osha/etta/exampleprograms/Electrical_Safety_Work_Practices_Policy.doc,"Thu, 10 Jul 2014 19:58:19 GMT",Electrical Safety Related Work Practices,This document contains a customizable example policy for electrical safety work practices.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0202,http://www.nclabor.com/elevator/online_forms/info_change.pdf,"Mon, 23 Nov 2009 20:09:32 GMT",Elevator Information Change Form,elevator information change form,N,N,Elevator,,,,,,,,,,,,,
L0513,http://www.nclabor.com/osha/etta/exampleprograms/Emergency_Action_and_Fire_Prevention_Plans.doc,"Thu, 31 Jul 2014 23:06:02 GMT",Emergency Action Plan and Fire Prevention Plan,This document contains customizable example emergency action and fire prevention plans.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0418,http://www.nclabor.com/osha/compliance/publicopn/opn130b.pdf,"Thu, 26 Jun 2008 22:39:14 GMT",Emergency Action Plans and Fire Prevention Plans,Emergency Action Plans and Fire Prevention Plans,N,N,OSH,OSH Enforcement Procedures,,Operational Procedure Notice,,,,,,,,,,
